============================================================
METHANE SEGMENTATION ZCU104 OPTIMIZED BENCHMARK
============================================================
Batch: 1 ALWAYS
Profile: max-e2e
Dataset images: 342
Runners: 2
Pre workers: 1
Post workers: 1
Slots/runner: 1
Pin: no
DPU subgraphs: 6 | CPU fallback subgraphs: 6
Input  : [1,512,512,4] INT8 fix=5
Output : [1,512,512,1] FLOAT32
[VAL 142/342] ang20191025t174619_r3072_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 143/342] ang20191025t174619_r768_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 144/342] ang20191025t174619_r8192_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 145/342] ang20191025t182152_r3328_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 146/342] ang20191025t182152_r6656_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 147/342] ang20191025t182152_r5632_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 148/342] ang20191025t182152_r12544_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 149/342] ang20191025t184057_r5376_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 150/342] ang20191025t184057_r5888_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 151/342] ang20191025t184057_r12288_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 152/342] ang20191025t184057_r0_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 153/342] ang20191025t185816_r6912_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 154/342] ang20191025t185816_r7680_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 155/342] ang20191025t185816_r4864_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 156/342] ang20191025t185816_r13056_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 157/342] ang20191025t191752_r6912_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 158/342] ang20191025t191752_r6400_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 159/342] ang20191025t191752_r4352_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 160/342] ang20191025t191752_r11520_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 161/342] ang20191025t193513_r7424_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 162/342] ang20191025t193513_r6400_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 163/342] ang20191025t193513_r12800_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 164/342] ang20191025t193513_r7936_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 165/342] ang20191025t195446_r8192_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 166/342] ang20191025t195446_r4096_c0_w512_h512 F1=0.0000 IoU=0.0000
